id,listing_id,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,square_feet
31991,8594166,1,2,2,2,1,1,1,
31992,8595310,1,1,4,1,0,2,1,
31993,8601284,7,2,1,1,1,1,1,
31994,8606565,1,1,4,1,0,2,1,
31995,8607087,1,1,2,1,1,1,3,
31996,8624641,1,2,2,1,1,1,1,
31997,8627059,1,1,4,1,1,2,1,
31998,8627585,1,2,1,1,1,1,1,
31999,8628169,1,1,4,1,2,3,1,
32000,8629197,1,1,2,1,0,1,1,
32001,8634850,1,1,3,1,1,2,1,
32002,8649608,1,2,1,2,1,1,1,
32003,8651165,1,1,4,1,1,2,1,
32004,8651758,1,1,2,1,1,1,1,
32005,8659944,1,2,2,2,1,1,1,
32006,8663494,1,1,4,2,2,2,1,
32007,8665492,2,2,1,1,1,1,1,
32008,8666776,1,2,2,1,1,2,1,
32009,8667962,1,2,2,2,1,2,1,
32010,8668278,1,1,2,1,1,1,1,
32011,8668938,1,1,2,1,1,1,1,
32012,8684129,3,1,2,1,0,1,1,
32013,8694208,1,1,4,1,2,2,1,
32014,8695926,1,1,4,1,1,3,1,
32015,8701236,1,1,2,1,1,1,1,
32016,8708735,3,1,2,1,1,1,1,
32017,8713274,1,1,4,1,2,2,1,
32018,8715418,1,1,3,1,0,2,1,
32019,8716140,1,2,1,1,1,1,1,
32020,8719352,1,1,6,2,2,3,1,
32021,8728948,1,2,2,1,1,1,1,
32022,8731253,5,1,2,1,1,1,1,
32023,8739312,7,2,2,1,1,1,1,
32024,8739811,4,1,4,2,3,3,1,
32025,8743354,1,2,2,2,1,1,3,
32026,8752740,2,2,2,1,1,1,1,
32027,8754976,1,1,3,1,1,2,1,
32028,8755195,1,1,5,1,1,3,1,
32029,8755504,1,2,3,1,1,2,1,
32030,8765011,1,2,1,1,1,1,1,
32031,8768739,1,1,6,1,2,4,1,
32032,8769145,1,2,2,1,1,2,1,
32033,8772343,1,2,1,0,1,1,1,
32034,8776371,1,2,1,1,1,1,1,
32035,8780301,18,2,1,1,1,1,1,
32036,8785549,1,1,4,2,3,3,1,
32037,8788400,1,2,2,1,1,2,1,
32038,8789125,7,2,2,1,1,1,1,
32039,8789549,1,2,1,1,1,1,1,
32040,8791775,1,1,3,1,1,2,1,
32041,8793972,1,2,2,1,1,1,1,
32042,8796971,4,2,4,1,1,1,1,
32043,8797873,1,2,1,1,1,1,1,
32044,8798083,1,2,2,1,1,1,1,
32045,8805608,1,2,2,1,1,1,1,
32046,8811202,1,2,2,1,1,1,2,
32047,8834126,1,1,2,1,1,1,1,
32048,8838482,7,2,2,1,1,1,1,
32049,8839299,1,1,4,1,1,3,1,
32050,8840190,1,1,7,3,4,5,1,
32051,8842365,1,1,4,1,1,2,1,
32052,8842678,7,1,2,1,0,4,1,
32053,8844082,1,1,6,2,2,2,1,
32054,8851984,3,1,4,1,2,2,1,
32055,8853298,1,1,2,1,0,2,1,
32056,8858054,1,1,2,1,1,2,1,
32057,8873865,1,1,4,1,2,2,1,
32058,8875872,1,2,1,1,1,1,1,
32059,8881201,1,1,2,1,1,2,1,
32060,8881869,1,1,2,1,0,1,1,
32061,8883924,1,1,2,1,0,1,1,
32062,8892942,1,1,3,1,0,2,1,
32063,8893392,1,1,4,1,1,2,1,
32064,8894850,3,1,12,2,3,12,1,
32065,8895075,1,1,4,1,1,2,1,
32066,8895105,1,1,2,1,0,2,1,
32067,8895205,1,1,4,1,1,2,1,
32068,8896741,1,2,2,1,1,2,1,
32069,8900002,1,2,1,1,1,1,1,
32070,8902683,1,2,1,1,1,1,1,
32071,8904822,4,1,2,1,1,2,1,
32072,8905082,7,2,2,1,1,1,1,
32073,8913498,5,1,8,2,3,5,1,
32074,8913503,5,1,4,1,1,2,1,
32075,8914957,4,1,4,2,2,3,1,
32076,8915060,1,1,4,2,3,3,1,
32077,8916748,1,1,2,1,1,1,1,
32078,8920018,1,1,3,1,1,1,1,
32079,8920671,1,1,4,1,1,3,1,
32080,8929267,1,1,6,1,3,3,1,
32081,8931977,7,1,16,5,8,10,1,
32082,8932480,1,1,2,1,1,1,1,
32083,8937265,1,1,2,1,0,1,1,
32084,8937444,1,1,2,1,1,2,1,
32085,8946901,1,1,4,1,2,3,1,
32086,13736678,3,1,3,1,1,1,3,
32087,8948488,1,1,3,1,2,2,1,
32088,8957802,1,1,3,1,0,2,1,
32089,8970229,1,1,2,1,1,2,1,
32090,8984546,1,1,2,1,1,2,1,
32091,8985958,1,2,2,1,1,0,1,
32092,8986089,7,1,4,1,2,2,1,
32093,8996450,7,2,2,1,1,2,1,
32094,8997920,1,1,5,1,2,3,1,
32095,9006561,3,1,2,1,0,2,1,
32096,9017254,3,1,3,1,1,1,1,
32097,9017283,1,1,4,1,1,2,1,
32098,9017416,1,1,2,1,1,2,1,
32099,9017859,1,1,2,1,1,1,1,
32100,9018009,1,1,4,1,1,2,1,
32101,9022672,1,2,1,1,1,1,1,
32102,9026844,1,1,4,1,2,2,1,
32103,9040724,1,1,6,1,2,3,1,
32104,9045230,1,1,6,2,3,3,1,
32105,9056582,1,1,4,1,2,3,1,
32106,9076910,1,1,5,1,1,2,1,
32107,9087250,1,2,1,1,1,1,1,
32108,9087646,1,1,2,1,1,1,1,
32109,9089327,1,1,4,1,2,2,1,
32110,9090159,3,1,2,1,0,1,1,
32111,9103079,1,1,8,2,2,4,1,
32112,9109924,1,1,3,0,0,2,1,
32113,9122942,1,2,1,2,1,1,1,
32114,9124408,1,2,2,1,1,1,1,
32115,9126582,1,2,1,1,1,1,1,
