id,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification
862524,f,2,f,f
862640,f,2,t,t
862690,f,2,f,f
863253,f,3,f,t
864681,f,2,f,f
866298,f,2,t,t
866315,f,2,t,t
867893,f,3,f,t
871899,f,3,f,f
902403,f,2,f,f
872568,f,3,t,t
872614,f,2,t,f
875171,f,2,f,t
877884,f,2,f,f
878550,f,2,f,f
879162,f,1,f,f
879356,f,3,f,f
879969,f,2,t,t
883382,f,2,f,f
884420,f,3,f,f
1891083,f,2,f,f
884732,f,2,f,f
886088,f,2,t,t
886886,f,2,f,f
888316,f,2,f,f
889491,f,3,f,f
889575,f,3,t,f
8733152,f,1,f,f
892906,f,2,f,t
892922,f,2,t,t
892927,f,2,t,t
892943,f,2,t,t
892949,f,2,t,t
893052,f,2,f,t
893129,f,3,f,f
893399,f,1,f,f
895091,f,2,f,f
896337,f,3,f,f
896367,f,3,f,f
897901,f,2,f,f
897943,f,3,f,f
900045,f,2,t,t
901211,f,2,f,f
13877186,f,3,f,f
903712,f,3,f,f
904862,f,2,f,f
906559,f,3,f,t
907219,f,2,f,f
910349,f,2,f,f
912414,f,3,f,f
915823,f,3,f,f
916232,f,3,f,f
917308,f,2,f,f
919483,f,3,f,f
919608,f,3,f,f
922906,f,3,f,f
922907,f,3,f,f
924382,f,2,f,t
924449,f,2,f,t
925557,f,3,f,f
927148,f,2,f,f
927472,f,1,f,f
927535,f,2,f,f
927600,f,1,f,f
927680,f,1,f,f
928725,f,2,f,f
929663,f,3,f,f
931437,f,2,f,t
931756,f,2,f,f
933094,f,3,t,f
933545,f,3,f,f
933877,f,2,t,t
934979,f,2,f,f
936734,f,2,f,f
936781,f,3,f,f
936818,f,2,f,t
936850,f,2,f,t
936900,f,3,f,f
937331,f,3,f,f
937425,f,2,t,f
937501,f,2,t,f
937547,f,2,f,f
937657,f,3,f,f
938006,f,3,f,f
938497,f,2,t,f
938557,f,2,t,f
938611,f,2,t,f
938626,f,2,t,f
939692,f,2,f,f
939792,f,2,f,f
940338,f,2,f,f
940374,f,3,f,f
942410,f,3,f,f
942574,f,1,f,f
943291,f,3,f,f
945007,f,3,t,t
945564,f,2,f,f
946122,f,3,f,f
946881,f,3,f,f
947269,f,3,f,t
950784,f,2,f,f
13977576,f,1,f,f
953750,f,2,f,f
954380,f,2,f,f
956256,f,2,f,f
21161304,f,1,f,f
957402,f,3,f,f
957657,f,3,f,f
957918,f,1,f,t
959089,f,3,f,f
959564,f,1,f,f
959725,f,1,f,f
959840,f,3,f,f
959880,f,3,f,f
961548,f,3,f,t
963109,f,3,f,f
963289,f,2,t,t
963533,f,2,f,f
965229,f,2,f,f
965441,f,2,t,t
965681,f,2,f,f
965712,f,2,f,f
965733,f,2,f,f
966895,f,3,f,f
966910,f,2,f,t
967346,f,2,f,f
971855,f,2,f,f
971858,f,2,f,f
971896,f,2,f,f
972000,f,3,f,f
976595,f,2,f,t
977496,f,2,f,f
977631,f,3,f,f
977745,f,3,f,f
978990,f,3,t,t
979073,f,3,f,f
982915,f,2,f,f
984985,f,2,f,f
985066,f,2,f,f
985310,f,2,t,t
986015,f,2,f,f
986101,f,2,f,t
986692,f,2,f,f
986867,f,2,f,f
987508,f,2,f,t
987773,f,3,f,f
988755,f,2,f,f
988917,f,2,f,t
990948,f,3,f,f
993497,f,2,f,f
995920,f,2,f,f
996059,f,3,f,f
996713,f,2,f,f
998726,f,3,f,f
1000335,f,2,f,t
1001823,f,2,f,f
1002233,f,2,f,f
1002372,f,2,f,f
1005399,f,2,f,f
1005420,f,2,f,f
1005754,f,2,f,f
1005775,f,1,t,t
1005826,f,1,t,t
1007939,f,3,f,f
1008717,f,2,f,f
1009086,f,2,f,t
1010181,f,2,f,t
1010589,f,2,f,f
1011083,f,2,f,f
1013513,f,3,t,t
1014822,f,3,f,f
1015663,f,3,t,t
1015758,f,2,f,f
1016104,f,1,f,f
1018053,f,2,f,f
1020452,f,2,f,f
1021297,f,2,f,f
1021299,f,2,f,f
1021389,f,2,f,f
1021822,f,2,t,t
1024587,f,2,t,t
1025705,f,2,f,f
1025707,f,2,f,t
1027560,f,3,f,f
1027718,f,2,f,f
1109398,f,3,t,t
1027732,f,2,f,f
1028836,f,2,f,t
1029587,f,2,f,f
1032836,f,2,f,f
1036032,f,2,f,f
1037668,f,2,f,f
1037836,f,2,t,t
1039162,f,2,f,f
1039211,f,2,f,f
1041060,f,2,f,t
1044121,f,2,f,t
1044862,f,2,f,f
1047089,f,3,f,f
1049897,f,2,f,f
1052151,f,3,t,f
1052846,f,2,f,f
1056112,f,2,t,t
1060042,f,3,t,t
1060614,f,3,f,f
1061343,f,3,f,f
1063092,f,2,f,f
1064956,f,2,f,f
1064989,f,2,f,f
1067338,f,3,f,f
1068523,f,3,f,t
1068919,f,3,f,f
1069572,f,2,f,f
1070322,f,2,f,f
2111495,f,2,f,f
1070511,f,2,f,f
1071608,f,2,t,t
1071740,f,2,f,f
1071787,f,3,f,f
1073748,f,2,f,f
1074100,f,3,f,f
1075855,f,2,f,f
1077851,f,3,f,f
1078049,f,3,f,f
1079887,f,3,f,f
1082656,f,2,f,f
1083115,f,2,f,f
1085376,f,1,t,t
1085881,f,2,f,f
1091090,f,2,f,t
1092321,f,2,f,f
1092780,f,2,f,f
1093633,f,2,f,f
1094534,f,2,f,f
1094547,f,2,f,f
1094548,f,2,f,f
1094604,f,2,t,t
1094847,f,3,f,f
1098571,f,3,f,f
1098894,f,2,f,f
1099498,f,1,f,f
1100121,f,2,f,f
1100506,f,2,t,t
1102498,f,3,t,t
1102747,f,2,f,f
1102856,f,2,f,f
1104197,f,3,t,t
1106222,f,2,f,f
1106731,f,2,f,f
1109264,f,2,t,t
1109610,f,2,f,f
1109989,f,2,t,t
1111406,f,2,f,f
1111408,f,2,f,f
1111410,f,2,f,f
1111412,f,2,f,f
1111418,f,2,f,f
1111989,f,2,f,f
2664990,f,2,f,f
1112838,f,2,f,f
1114170,f,3,f,f
1114343,f,1,f,f
1117699,f,2,f,f
1118161,f,3,f,f
1119598,f,2,f,f
1124129,f,2,f,f
1125212,f,1,f,f
1129312,f,3,f,f
1129608,f,2,f,f
1129827,f,2,f,f
1132445,f,2,f,f
1136160,f,3,f,f
1136226,f,3,f,f
1136384,f,3,f,f
1136527,f,2,f,f
1139069,f,3,f,f
1139434,f,1,t,f
1139564,f,2,f,f
1139791,f,3,f,f
1139810,f,3,f,f
1139849,f,2,f,f
1140144,f,2,f,f
1254174,f,1,f,f
1144815,f,3,f,f
1145940,f,2,f,f
1146219,f,3,t,t
1146557,f,2,f,t
10159608,f,1,f,f
1147333,f,2,f,f
1147500,f,3,f,t
1149191,f,3,f,t
1150062,f,3,f,t
1150128,f,3,f,t
1153834,f,3,f,t
1154032,f,2,f,f
1154761,f,3,f,f
1157783,f,2,t,t
1161251,f,3,f,f
1161417,f,1,f,f
1164746,f,3,f,f
1165432,f,2,f,t
1166075,f,3,f,f
1168945,f,2,f,f
1169088,f,2,f,f
1169142,f,2,f,t
1169191,f,3,f,f
1181739,f,2,f,f
1182345,f,2,f,f
1188839,f,2,f,t
1190491,f,3,t,t
1193162,f,3,f,f
1193842,f,3,f,f
1193941,f,3,f,f
1194696,f,3,f,f
1196033,f,2,f,t
1196312,f,2,f,t
1196332,f,1,f,t
1196349,f,1,f,t
1196377,f,1,f,t
1196387,f,1,f,t
1196392,f,1,f,t
1196404,f,1,f,t
1196447,f,1,f,t
1196463,f,3,f,t
1196515,f,2,f,t
1196889,f,1,f,t
1196899,f,1,f,t
1196908,f,1,f,t
1197169,f,2,f,t
1197196,f,1,f,t
1197458,f,1,f,f
1198074,f,2,f,f
1199380,f,2,f,f
1199382,f,2,f,f
1199594,f,2,f,f
1199795,f,2,f,f
1201871,f,1,f,f
1202829,f,3,f,f
1204161,f,2,f,f
1204581,f,2,t,t
1206052,f,3,f,f
1207330,f,2,f,f
1207407,f,2,f,f
1207452,f,2,f,f
1211082,f,2,f,t
1211274,f,2,f,f
1211499,f,3,f,f
1212211,f,2,f,f
1213201,f,2,f,f
1213275,f,2,f,f
1215049,f,2,f,f
1215236,f,3,f,t
10242542,f,3,f,f
1215339,f,2,f,f
1215918,f,3,f,t
1216600,f,3,f,f
1218515,f,2,f,f
1218609,f,2,f,f
1219652,f,2,f,f
1222290,f,2,f,f
1224736,f,2,f,f
1224896,f,3,t,t
1225103,f,2,f,f
1228422,f,2,f,f
1229996,f,2,f,f
1230464,f,2,t,t
1234139,f,3,f,f
1235429,f,2,f,t
1235475,f,2,f,f
1235517,f,2,f,t
1235805,f,2,f,f
1236427,f,2,f,f
1238141,f,3,f,f
1239232,f,2,f,f
1240055,f,2,f,f
1241068,f,2,f,f
1241225,f,2,f,f
1242210,f,2,f,f
1242215,f,2,f,f
1242470,f,3,f,f
1242745,f,2,t,t
1245635,f,2,f,f
1249641,f,3,f,f
1252280,f,3,f,f
1253605,f,3,f,f
1255085,f,2,f,f
1256137,f,2,t,t
1257705,f,2,f,f
1257841,f,3,f,f
1258446,f,2,f,f
1258501,f,2,f,f
1258555,f,2,f,f
1260018,f,3,f,f
1261355,f,1,f,f
1264285,f,3,f,f
1266069,f,2,f,f
1266156,f,2,f,f
1266221,f,2,f,f
1266363,f,2,f,f
1266425,f,3,f,f
1266491,f,2,f,f
1269089,f,2,f,f
1269128,f,2,f,f
1269216,f,2,f,f
1269236,f,2,f,f
1269238,f,3,f,f
1269253,f,2,f,f
1269263,f,2,f,f
1270627,f,2,f,f
1271555,f,3,f,f
1271836,f,1,t,f
1272304,f,2,f,f
1276036,f,2,f,f
1278398,f,2,f,f
1279308,f,2,t,t
1282669,f,3,f,f
1282757,f,3,f,f
1284653,f,2,t,f
1285739,f,2,f,f
1286069,f,2,f,f
25280541,f,2,f,f
1290278,f,3,f,t
1291052,f,2,f,f
1291562,f,2,f,f
1293396,f,2,f,f
1293412,f,3,f,f
1294410,f,2,f,f
1295958,f,2,f,f
1296121,f,2,f,f
1296977,f,2,f,t
1304470,f,3,f,f
1305640,f,2,f,f
1305869,f,2,f,f
1307420,f,2,f,f
1309102,f,3,f,f
1312051,f,2,f,f
1314537,f,2,f,f
1314672,f,2,t,t
1319021,f,3,f,f
1320149,f,3,f,f
28834766,f,1,f,f
1322421,f,2,f,f
1322861,f,1,f,f
1327003,f,3,f,f
1328996,f,2,f,f
1329357,f,3,f,f
1329829,f,2,f,f
1329890,f,3,f,f
1331475,f,3,f,f
1331957,f,3,f,f
1332929,f,1,f,f
1333207,f,3,f,f
1334863,f,3,f,f
1338105,f,2,f,t
1339422,f,2,f,f
1339639,f,2,f,f
1340503,f,2,f,f
1342549,f,3,f,f
1343928,f,2,f,f
